;id;display-name;url;icon
0;es5f1abce155a03d0007718834;Comedia made in Spain_es;;https://images.pluto.tv/channels/5f1abce155a03d0007718834/colorLogoPNG.png
1;es5f1ac1f1b66c76000790ef27;Pluto TV Cine Estelar_es;;https://images.pluto.tv/channels/5f1ac1f1b66c76000790ef27/colorLogoPNG.png
2;es5f1ac2591dd8880007bb7d6d;Pluto TV Cine Acción_es;;https://images.pluto.tv/channels/5f1ac2591dd8880007bb7d6d/colorLogoPNG.png
3;es5f1ac8099c49f600076579b2;Pluto TV Cine Comedia_es;;https://images.pluto.tv/channels/5f1ac8099c49f600076579b2/colorLogoPNG.png
4;es5f1ac8a87cd38d000745d7cf;Pluto TV Thrillers_es;;https://images.pluto.tv/channels/5f1ac8a87cd38d000745d7cf/colorLogoPNG.png
5;es5f1ac947dcd00d0007937c08;Pluto TV Cine Drama_es;;https://images.pluto.tv/channels/5f1ac947dcd00d0007937c08/colorLogoPNG.png
6;es5f1ac9a2d3611d0007a844bb;Pluto TV Cine Romántico_es;;https://images.pluto.tv/channels/5f1ac9a2d3611d0007a844bb/colorLogoPNG.png
7;es5f1aca8310a30e00074fab92;Asesinatos de Midsomer_es;;https://images.pluto.tv/channels/5f1aca8310a30e00074fab92/colorLogoPNG.png
8;es5f1acb4eebe0f0000767b40f;Las reglas del juego_es;;https://images.pluto.tv/channels/5f1acb4eebe0f0000767b40f/colorLogoPNG.png
9;es5f1acba0d1f6340007db8843;Los nuevos detectives_es;;https://images.pluto.tv/channels/5f1acba0d1f6340007db8843/colorLogoPNG.png
10;es5f1acbed25948a0007ffbe65;Los archivos del FBI_es;;https://images.pluto.tv/channels/5f1acbed25948a0007ffbe65/colorLogoPNG.png
11;es5f1acc3e061597000768d4ea;Andrómeda_es;;https://images.pluto.tv/channels/5f1acc3e061597000768d4ea/colorLogoPNG.png
12;es5f1acc91cc9e1b000711ff21;Mutante X_es;;https://images.pluto.tv/channels/5f1acc91cc9e1b000711ff21/colorLogoPNG.png
13;es5f1acdaa8ba90f0007d5e760;Pluto TV Cocina_es;;https://images.pluto.tv/channels/5f1acdaa8ba90f0007d5e760/colorLogoPNG.png
14;es5f6a38eaa5b68b0007a00e7a;Pluto TV Sci-Fi_es;;https://images.pluto.tv/channels/5f6a38eaa5b68b0007a00e7a/colorLogoPNG.png
15;es5f984c1dc54853000797a5e8;Cine Latino_es;;https://images.pluto.tv/channels/5f984c1dc54853000797a5e8/colorLogoPNG.png
16;es5f984f4a09e92d0007d74647;Archivos Forenses_es;;https://images.pluto.tv/channels/5f984f4a09e92d0007d74647/colorLogoPNG.png
17;es5f9853138d19af0007104a8d;Pluto TV Series Comedia_es;;https://images.pluto.tv/channels/5f9853138d19af0007104a8d/colorLogoPNG.png
18;es60218baa464ef900073168c1;Empeños a lo bestia_es;;https://images.pluto.tv/channels/60218baa464ef900073168c1/colorLogoPNG.png
19;es602ba1cfb386d30007aecbbe;Pluto TV Investiga_es;;https://images.pluto.tv/channels/602ba1cfb386d30007aecbbe/colorLogoPNG.png
20;es6086d3f420fc8500075f8dbf;Runtime_es;;https://images.pluto.tv/channels/6086d3f420fc8500075f8dbf/colorLogoPNG.png
