;start;stop;channel;desc;title;icon;url;country;episode-num;star-rating;sub-title;category
0;20220329000000 +0200;20220329003000 +0200;24 HORAS;"|2021| ★★★☆☆ |España| Información, Informativo.
Noticias de los servicios informativos del Canal 24 Horas. Producido por Televisión Española, este canal está dedicado íntegramente a ofrecer información de actualidad y es el más antiguo de los canales de este tipo en España.
";Noticias 24H;https://www.movistarplus.es/recorte/n/caratula4/M24HP518403;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT518403;España;S2022 E13;★★★☆☆;;News / Current affairs
1;20220329003000 +0200;20220329004500 +0200;24 HORAS;"S1 E47 |2022| +7 |España| Información, Informativo.
Espacio que nace con la intención de ayudar a avanzar en el camino de la igualdad plena y real entre hombres y mujeres, mostrando los estereotipos sexistas.
 las brechas de género en puestos de poder y decisión, en salarios, las profesiones masculinas o femeninas, etc.
";Objetivo Igualdad;https://www.movistarplus.es/recorte/n/caratula4/M24HP2056467;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT2056467;España;S1 E47;;;News / Current affairs
2;20220329004500 +0200;20220329010000 +0200;24 HORAS;"|2013| +TP ★★★☆☆ |España| Información, Magacín.
Espacio con vocación de servicio público que pretende aportar soluciones que ayuden a emprender, ideas que permitan iniciar nuevos proyectos e información útil para cualquier emprendedor. Especialistas en mercadotecnia y marca personal dan su visión sobre el mercado.
Dir: Juanma Romero.
";Emprende;https://www.movistarplus.es/recorte/n/caratula4/M964068V1367456;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367456;España;;★★★☆☆;;Magazines / Reports / Documentary
3;20220329010000 +0200;20220329020000 +0200;24 HORAS;"|2021| ★★★☆☆ |España| Información, Informativo.
Noticias de los servicios informativos del Canal 24 Horas. Producido por Televisión Española, este canal está dedicado íntegramente a ofrecer información de actualidad y es el más antiguo de los canales de este tipo en España.
";Noticias 24H;https://www.movistarplus.es/recorte/n/caratula4/M24HP518403;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT518403;España;;★★★☆☆;;News / Current affairs
4;20220329020000 +0200;20220329023000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
5;20220329023000 +0200;20220329030000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
6;20220329030000 +0200;20220329033000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
7;20220329033000 +0200;20220329040000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
8;20220329040000 +0200;20220329043000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
9;20220329043000 +0200;20220329050000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
10;20220329050000 +0200;20220329053000 +0200;24 HORAS;"|2021| +TP ★★★☆☆ |España| Información, Informativo.
Un noticiario que prima la información de ámbito internacional y especialmente la que se produce o tiene relación con la América Iberoamericana. El espacio, eso sí, tampoco se olvida de la actualidad nacional española. Incluye previsión meteorológica de todo el planeta.
";Telediario Internacional;https://www.movistarplus.es/recorte/n/caratula4/M24HP1367474;https://www.movistarplus.es/recorte/n/detallegaleriah/M24HT1367474;España;;★★★☆☆;;News / Current affairs
